#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  4.035733553700E+00   8.149151112705E-03
 0.5000000000  1.0000000000  4.035733553700E+00   8.149151112705E-03
 1.0000000000  0.5000000000  3.881026459738E+00   7.453642671348E-03
 1.0000000000  1.0000000000  3.881026459738E+00   7.453642671348E-03
 1.0000000000  2.0000000000  3.881026459738E+00   7.453642671348E-03
 2.0000000000  1.0000000000  3.733666128431E+00   6.865715242042E-03
 2.0000000000  2.0000000000  3.733666128431E+00   6.865715242042E-03
