#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  5.003876001888E+00   5.137191674082E-04
 0.5000000000  1.0000000000  5.003876001888E+00   5.137191674082E-04
 1.0000000000  0.5000000000  4.784843031105E+00   4.765717225217E-04
 1.0000000000  1.0000000000  4.784843031105E+00   4.765717225217E-04
 1.0000000000  2.0000000000  4.784843031105E+00   4.765717225217E-04
 2.0000000000  1.0000000000  4.579531336233E+00   4.448533180387E-04
 2.0000000000  2.0000000000  4.579531336233E+00   4.448533180387E-04
