#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  4.250359431819E+00   1.279306082600E-02
 0.5000000000  1.0000000000  4.250359431819E+00   1.279306082600E-02
 1.0000000000  0.5000000000  4.071838817364E+00   1.145931241372E-02
 1.0000000000  1.0000000000  4.071838817364E+00   1.145931241372E-02
 1.0000000000  2.0000000000  4.071838817364E+00   1.145931241372E-02
 2.0000000000  1.0000000000  3.903954716231E+00   1.037501251071E-02
 2.0000000000  2.0000000000  3.903954716231E+00   1.037501251071E-02
