#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  5.379970246988E+00   6.389186175113E-04
 0.5000000000  1.0000000000  5.379970246988E+00   6.389186175113E-04
 1.0000000000  0.5000000000  5.115619083773E+00   5.866728168823E-04
 1.0000000000  1.0000000000  5.115619083773E+00   5.866728168823E-04
 1.0000000000  2.0000000000  5.115619083773E+00   5.866728168823E-04
 2.0000000000  1.0000000000  4.872560361119E+00   5.431938020844E-04
 2.0000000000  2.0000000000  4.872560361119E+00   5.431938020844E-04
