#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  1.401351043652E+00   3.268588411169E-03
 0.5000000000  1.0000000000  1.401351043652E+00   3.268588411169E-03
 1.0000000000  0.5000000000  1.287624595064E+00   2.839682828851E-03
 1.0000000000  1.0000000000  1.287624595064E+00   2.839682828851E-03
 1.0000000000  2.0000000000  1.287624595064E+00   2.839682828851E-03
 2.0000000000  1.0000000000  1.190581338750E+00   2.503488881298E-03
 2.0000000000  2.0000000000  1.190581338750E+00   2.503488881298E-03
