#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  1.691132876884E+00   2.040660184916E-04
 0.5000000000  1.0000000000  1.691132876884E+00   2.040660184916E-04
 1.0000000000  0.5000000000  1.544984799679E+00   1.826325118480E-04
 1.0000000000  1.0000000000  1.544984799679E+00   1.826325118480E-04
 1.0000000000  2.0000000000  1.544984799679E+00   1.826325118480E-04
 2.0000000000  1.0000000000  1.421082525683E+00   1.652673396216E-04
 2.0000000000  2.0000000000  1.421082525683E+00   1.652673396216E-04
