#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  1.550107549115E+00   1.662219601961E-04
 0.5000000000  1.0000000000  1.550107549115E+00   1.662219601961E-04
 1.0000000000  0.5000000000  1.428217492224E+00   1.501670766450E-04
 1.0000000000  1.0000000000  1.428217492224E+00   1.501670766450E-04
 1.0000000000  2.0000000000  1.428217492224E+00   1.501670766450E-04
 2.0000000000  1.0000000000  1.322843521861E+00   1.369104457668E-04
 2.0000000000  2.0000000000  1.322843521861E+00   1.369104457668E-04
