#scale factor(Factorisation scale)   scale factor2(Renormalisation scale)    xsection value       xsection error
 0.5000000000  0.5000000000  1.310795662746E+00   5.197457133315E-03
 0.5000000000  1.0000000000  1.310795662746E+00   5.197457133315E-03
 1.0000000000  0.5000000000  1.213121079971E+00   4.690333373040E-03
 1.0000000000  1.0000000000  1.213121079971E+00   4.690333373040E-03
 1.0000000000  2.0000000000  1.213121079971E+00   4.690333373040E-03
 2.0000000000  1.0000000000  1.128338276678E+00   4.271386575350E-03
 2.0000000000  2.0000000000  1.128338276678E+00   4.271386575350E-03
